name,image,ratings,no_of_ratings,discount_price,actual_price,weight_volume,discount_price_USD,actual_price_USD
"Organic Tattva, Organic Dried Red Chilli Powder, 100 Gram | Quality Mirchi Powder, Naturally Processed, from Farm Picked F...",https://m.media-amazon.com/images/I/81rZ5tqEV4L._AC_UL320_.jpg,3.9,179,52.0,60.0,,0.5977011494252874,0.6896551724137931
"SAPPHIRE FOODS Organically Grown Hulled Buckwheat Groats Vacuum Packed (Hulled, Raw) (250G)",https://m.media-amazon.com/images/I/71cmdxQPGvL._AC_UL320_.jpg,5,5,199.0,1599.0,,2.2873563218390807,18.379310344827587
"Starbucks Single Origin Sumatra Coffee Dark Roast Coffee Capsule by Nespresso Intensity 10, 55g",https://m.media-amazon.com/images/I/51h97sSY9xL._AC_UL320_.jpg,4,705,605.0,1199.0,g,6.954022988505747,13.781609195402298
"Krishna's Pathar Juice Chatadi - 1000 ml | Dissolve or Break The Stone | Goodness of Pashanbhed, Adulsa, Kutki & Amla | Bl...",https://m.media-amazon.com/images/I/91IWCaf3wQL._AC_UL320_.jpg,3.3,12,445.0,450.0,,5.114942528735632,5.172413793103448
"Samyang Carbo Hot Chicken Flavour Raman Cup Noodles, 70mg*4 Pack (Pack of 4) (Imported)",https://m.media-amazon.com/images/I/51EN1zzpl8S._AC_UL320_.jpg,4.9,8,499.0,540.0,,5.735632183908046,6.206896551724138
MYFITNESS Natural Peanut Butter Smooth 1250g,https://m.media-amazon.com/images/I/6100qh-FAxL._AC_UL320_.jpg,4.4,498,629.0,649.0,g,7.2298850574712645,7.459770114942529
"Limca Bottle, 600ml",https://m.media-amazon.com/images/I/51Un9ITqpTL._AC_UL320_.jpg,4.4,117,39.0,40.0,ml,0.4482758620689655,0.45977011494252873
ORGANIC INDIA Tulsi Lemon Ginger Tea - 25 Tea Bags (Pack of 2),https://m.media-amazon.com/images/I/61zMwpu26cL._AC_UL320_.jpg,4.4,110,370.93,388.0,,4.2635632183908045,4.459770114942529
"Happilo Premium International Healthy Nutmix 350g Value Pack, ‎Almonds, Black Raisins, Cashewnuts, Cranberries, Green Rais...",https://m.media-amazon.com/images/I/71nuOQcMNxL._AC_UL320_.jpg,4.3,578,533.1,599.0,g,6.127586206896552,6.885057471264368
"Gits Instant Khatta Dhokla Mix, Makes 100 Per Pack, Pure Veg, Instant Indian Snack Mix, 500g",https://m.media-amazon.com/images/I/71-+80TPvtL._AC_UL320_.jpg,4.1,112,128.0,140.0,g,1.471264367816092,1.6091954022988506
NutroActive Keto Atta (1g Net Carb Per Roti ) Extremely Low Carb Flour - 500 gm,https://m.media-amazon.com/images/I/61xVN6XoedL._AC_UL320_.jpg,3.9,"3,158",399.0,449.0,g,4.586206896551724,5.160919540229885
Herbalife Nutrition F 1 Mango F 3 Protein Powder and Afresh Ginger,https://m.media-amazon.com/images/I/61ymy8NJB1L._AC_UL320_.jpg,4,247,2475.0,4476.0,,28.448275862068964,51.44827586206897
Everlite Indian Tasty Crunchy Edible Roasted Clay | Bhutdo | Khadi | Mitti | Butter Soil Manure | Roasted Nakumatt | Nakum...,https://m.media-amazon.com/images/I/81awg7Y3FqL._AC_UL320_.jpg,3,65,129.0,250.0,,1.4827586206896552,2.8735632183908044
"Teabox Organic Turmeric Ginger Tulsi Green Tea 25 Teabags | For Immunity Boosting, Digestion and Sore Throat | 100% Whole ...",https://m.media-amazon.com/images/I/71JuDjP5iYL._AC_UL320_.jpg,4.2,"1,304",227.0,239.0,,2.6091954022988504,2.7471264367816093
"Pro Nature 100% Organic Almonds, 100g",https://m.media-amazon.com/images/I/61DIHW+QxCL._AC_UL320_.jpg,4.2,257,243.0,270.0,g,2.793103448275862,3.103448275862069
